"Deferred Expense","المصاريف الآجلة"
"Opportunity Type","نوع الفرصة البيعية"
"Package","الحزمة"
"Page","صفحة"
"Party Type","نوع الطرف"
"Payment Gateway Account","حساب بوابة الدفع"
"Payment Order","أمر سداد"
"Payment Reconciliation","تسوية الدفعات"
"Payment Request","طلب سداد"
"Payment Term","شرط السداد"
"Payment Terms Template","قالب شروط السداد"
"Period Closing Voucher","سند إقفال الفترة"
"Pick List","قائمة الانتقاء"
"Plant Floor","أرضية المصنع"
"POS Closing Entry","قيد إغلاق نقاط البيع"
"POS Invoice","فاتورة نقاط البيع"
"POS Opening Entry","قيد افتتاح نقاط البيع"
"POS Profile","ملف تعريف نقاط البيع"
"Prepared Report","التقرير المعد مسبقًا"
"Price List","قائمة الأسعار"
"Pricing Rule","قاعدة التسعير"
"Print Format","تنسيق الطباعة"
"Print Heading","عنوان الطباعة"
"Print Settings","إعدادات الطباعة"
"Print Style","نمط الطباعة"
"Process Deferred Accounting","معالجة المحاسبة المؤجلة"
"Product Bundle","حزمة المنتج"
"Production Plan","خطة الإنتاج"
"Project","المشروع"
"Project Type","نوع المشروع"
"Promotional Scheme","النظام الترويجي"
"Purchase Invoice","فاتورة مشتريات"
"Purchase Order","أمر شراء"
"Purchase Receipt","إستلام مشتريات"
"Purchase Taxes and Charges Template","قالب ضرائب ورسوم المشتريات"
"Putaway Rule","قاعدة التخزين"
"Quality Inspection","فحص الجودة"
"Quality Inspection Template","قالب فحص الجودة"
"Quality Procedure","إجراء الجودة"
"Quotation","عرض سعر"
"Quotation Lost Reason","سبب خسارة عرض السعر"
"Report","تقرير"
"Request for Quotation","طلب عرض سعر"
"Role","الدور"
"Role Profile","ملف تعريف الدور"
"Routing","التوجيه"
"Sales Invoice","فاتورة مبيعات"
"Sales Order","أمر بيع"
"Sales Partner Type","نوع شريك المبيعات"
"Sales Person","مندوب المبيعات"
"Sales Stage","مرحلة المبيعات"
"Sales Taxes and Charges Template","قالب ضرائب ورسوم المبيعات"
"Salutation","اللقب"
"Scheduled Job Type","نوع المهمة المجدولة"
"Scheduler Event","حدث المجدوِل"
"Serial and Batch Bundle","حزمة الرقم التسلسلي والباتش"
"Serial No","الرقم التسلسلي"
"Server Script","سكريبت الخادم"
"Service Level Agreement","اتفاقية مستوى الخدمة"
"Share Type","نوع السهم"
"Shipping Rule","قاعدة الشحن"
"Stock Entry","حركة مخزون"
"Stock Entry Type","نوع حركة المخزون"
"Stock Settings","إعدادات المخزون"
"Subcontracting Order","أمر تعاقد من الباطن"
"Subcontracting Receipt","إيصال استلام تعاقد من الباطن"
"Subscription","الاشتراك"
"Supplier","المورّد"
"Supplier Group","مجموعة المورّدين"
"Supplier Quotation","عرض سعر المورّد"
"Task","مهمة"
"Tax Category","فئة الضريبة"
"Tax Withholding Category","فئة احتجاز الضريبة"
"Terms and Conditions","البنود والشروط"
"Territory","المنطقة"
"UOM","وحدة القياس"
"UOM Conversion Factor","معامل تحويل وحدة القياس"
"User","المستخدم"
"User Type","نوع المستخدم"
"Vehicle","المركبة"
"Version","الإصدار"
"Warehouse","المستودع"
"Warehouse Type","نوع المستودع"
"Web Template","قالب الويب"
"Webhook","خطاف الويب"
"Website Sidebar","الشريط الجانبي للموقع"
"Website Theme","سمة الموقع"
"Work Order","أمر عمل"
"Workflow State","حالة سير العمل"
"Workspace","مساحة العمل"
"Workstation","محطة عمل"
"Workstation Type","نوع محطة العمل"
"Penalty","الغرامة"
"About Us Settings","إعدادات "من نحن""
"Access Log","سجل الوصول"
"Account Closing Balance","رصيد إقفال الحساب"
"Accounting Dimension Filter","فلتر البُعد المحاسبي"
"Accounting Period","الفترة المحاسبية"
"Accounts Settings","إعدادات الحسابات"
"Activity Cost","تكلفة النشاط"
"Activity Log","سجل النشاط"
"Address Template","قالب العنوان"
"Advance Payment Ledger Entry","قيد أستاذ الدفعات المقدمة"
"Appointment","موعد"
"Appointment Booking Settings","إعدادات حجز المواعيد"
"Asset Activity","نشاط الأصل"
"Asset Capitalization","رسملة الأصل"
"Asset Depreciation Schedule","جدول إهلاك الأصل"
"Asset Maintenance Log","سجل صيانة الأصل"
"Asset Maintenance Team","فريق صيانة الأصل"
"Asset Movement","حركة الأصل"
"Asset Shift Allocation","تخصيص وردية الأصل"
"Asset Shift Factor","عامل وردية الأصل"
"Asset Value Adjustment","تسوية قيمة الأصل"
"Audit Trail","مسار المراجعة"
"Authorization Control","التحكم بالتفويض"
"Authorization Rule","قاعدة التفويض"
"Auto Email Report","تقرير البريد التلقائي"
"Bank Account Subtype","النوع الفرعي للحساب البنكي"
"Bank Account Type","نوع الحساب البنكي"
"Bank Clearance","التسوية البنكية"
"Bank Guarantee","الضمان البنكي"
"Bank Reconciliation Tool","أداة تسوية البنك"
"Bank Statement Import","استيراد كشف الحساب البنكي"
"Bank Transaction","حركة بنكية"
"Batch","باتش"
"Bin","موقع تخزيني"
"Bisect Accounting Statements","تقسيم الكشوف المحاسبية"
"Bisect Nodes","تقسيم العقد"
"Blog Post","منشور مدونة"
"Blog Settings","إعدادات المدونة"
"BOM Update Log","سجل تحديث قائمة المواد"
"BOM Update Tool","أداة تحديث قائمة المواد"
"Budget","الموازنة"
"Bulk Transaction Log","سجل الحركات الجماعية"
"Bulk Transaction Log Detail","تفاصيل سجل الحركات الجماعية"
"Bulk Update","تحديث جماعي"
"Buying Settings","إعدادات المشتريات"
"Calendar View","عرض التقويم"
"Call Log","سجل المكالمات"
"Cashier Closing","إقفال الصندوق"
"Changelog Feed","موجز سجل التغييرات"
"Chart of Accounts Importer","مستورد الدليل الحسابات"
"Cheque Print Template","قالب طباعة الشيكات"
"Closing Stock Balance","رصيد المخزون الختامي"
"Communication Medium","وسيط التواصل"
"Console Log","سجل وحدة التحكم"
"Contact Us Settings","إعدادات "اتصل بنا""
"Contract","العقد"
"Cost Center Allocation","توزيع مركز التكلفة"
"CRM Settings","إعدادات إدارة علاقات العملاء"
"Currency Exchange","صرف العملات"
"Custom DocPerm","صلاحية مستند مخصصة"
"Custom Field","حقل مخصص"
"Custom HTML Block","كتلة HTML مخصصة"
"Custom Role","دور مخصص"
"Customer","العميل"
"Customize Form","تخصيص النموذج"
"Dashboard Chart","مخطط بياني للوحة المعلومات"
"Dashboard Chart Source","مصدر مخطط لوحة المعلومات"
"Dashboard Settings","إعدادات لوحة المعلومات"
"Data Export","تصدير البيانات"
"Data Import Log","سجل استيراد البيانات"
"Deleted Document","المستند المحذوف"
"Delivery Settings","إعدادات التسليم"
"Delivery Trip","رحلة التسليم"
"Desktop Icon","أيقونة سطح المكتب"
"Discussion Reply","رد المناقشة"
"Discussion Topic","موضوع المناقشة"
"DocShare","مشاركة_المستند"
"DocType Layout","تخطيط نوع المستند"
"Document Naming Rule","قاعدة تسمية المستندات"
"Document Naming Settings","إعدادات تسمية المستندات"
"Document Share Key","مفتاح مشاركة المستند"
"Domain Settings","إعدادات المجال"
"Downtime Entry","قيد زمن التوقف"
"Dropbox Settings","إعدادات Dropbox"
"Dunning","المطالبة بالديون"
"Email Campaign","حملة بريد إلكتروني"
"Email Digest","ملخص بريدي"
"Email Domain","نطاق البريد الإلكتروني"
"Email Flag Queue","طابور علامات البريد"
"Email Group Member","عضو المجموعة البريدية"
"Email Queue","طابور البريد"
"Email Rule","قاعدة البريد"
"Email Unsubscribe","إلغاء الاشتراك البريدي"
"Employee","الموظف"
"Energy Point Log","سجل نقاط الطاقة"
"Energy Point Rule","قاعدة نقاط الطاقة"
"Energy Point Settings","إعدادات نقاط الطاقة"
"Exchange Rate Revaluation","إعادة تقييم سعر الصرف"
"File","ملف"
"GL Entry","قيد أستاذ عام"
"Global Defaults","الإعدادات الافتراضية العامة"
"Global Search Settings","إعدادات البحث العام"
"Google Settings","إعدادات جوجل"
"Help Category","فئة المساعدة"
"Homepage","الصفحة الرئيسية"
"Import Supplier Invoice","استيراد فاتورة المورّد"
"Incoming Call Settings","إعدادات المكالمات الواردة"
"Industry Type","نوع القطاع"
"Integration Request","طلب تكامل"
"Inventory Dimension","بُعد المخزون"
"Invoice Discounting","خصم الفواتير"
"Issue Priority","أولوية المشكلة"
"Item Alternative","الصنف البديل"
"Item Manufacturer","مصنِّع الصنف"
"Item Price","سعر الصنف"
"Item Variant Settings","إعدادات متغير الصنف"
"Journal Entry Template","قالب قيد اليومية"
"Landed Cost Voucher","سند تكلفة البضاعة المستوردة"
"LDAP Settings","إعدادات LDAP"
"Lead Source","مصدر العميل المحتمل"
"Ledger Health","سلامة دفتر الأستاذ"
"Ledger Health Monitor","مراقب سلامة دفتر الأستاذ"
"Ledger Merge","دمج دفاتر الأستاذ"
"List Filter","فلتر القائمة"
"List View Settings","إعدادات عرض القائمة"
"Log Settings","إعدادات السجل"
"Lower Deduction Certificate","شهادة الخصم المخفض"
"Loyalty Point Entry","قيد نقاط الولاء"
"Maintenance Visit","زيارة الصيانة"
"Manufacturing Settings","إعدادات التصنيع"
"Marketing Campaign","حملة تسويقية"
"Milestone","معلم رئيسي"
"Module Def","تعريف الوحدة"
"Module Onboarding","تأهيل الوحدة"
"Navbar Settings","إعدادات شريط التنقل"
"Network Printer Settings","إعدادات طابعة الشبكة"
"Newsletter","نشرة بريدية"
"Non Conformance","عدم المطابقة"
"Notification Log","سجل الإشعارات"
"Notification Settings","إعدادات الإشعارات"
"Number Card","بطاقة رقمية"
"OAuth Authorization Code","رمز تفويض OAuth"
"OAuth Bearer Token","رمز حامل OAuth"
"OAuth Client","عميل OAuth"
"OAuth Provider Settings","إعدادات مزود OAuth"
"Onboarding Step","خطوة التأهيل"
"Opening Invoice Creation Tool","أداة إنشاء الفواتير الافتتاحية"
"Package Import","استيراد الحزمة"
"Package Release","إصدار الحزمة"
"Packing Slip","قسيمة التعبئة"
"Party Link","رابط الطرف"
"Party Specific Item","صنف خاص بالطرف"
"Patch Log","سجل التصحيحات البرمجية"
"Payment Ledger Entry","قيد أستاذ الدفعات"
"Permission Inspector","مفتش الصلاحيات"
"Personal Data Deletion Request","طلب حذف البيانات الشخصية"
"Personal Data Download Request","طلب تنزيل البيانات الشخصية"
"Plaid Settings","إعدادات Plaid"
"Portal Settings","إعدادات البوابة"
"POS Invoice Merge Log","سجل دمج فواتير نقاط البيع"
"POS Settings","إعدادات نقاط البيع"
"Print Format Field Template","قالب حقل تنسيق الطباعة"
"Process Payment Reconciliation","معالجة تسوية الدفعات"
"Process Payment Reconciliation Log","سجل معالجة تسوية الدفعات"
"Process Statement Of Accounts","معالجة كشوف الحساب"
"Process Subscription","معالجة الاشتراك"
"Project Template","قالب المشروع"
"Project Update","تحديث المشروع"
"Projects Settings","إعدادات المشاريع"
"Property Setter","مُعيِّن الخصائص"
"Prospect","عميل مرتقب"
"Push Notification Settings","إعدادات الإشعارات الفورية"
"Quality Action","إجراء الجودة"
"Quality Feedback","تقييم الجودة"
"Quality Feedback Template","قالب تقييم الجودة"
"Quality Goal","هدف الجودة"
"Quality Inspection Parameter","معلمة فحص الجودة"
"Quality Inspection Parameter Group","مجموعة معلمات فحص الجودة"
"Quality Meeting","اجتماع الجودة"
"Quality Review","مراجعة الجودة"
"Quick Stock Balance","رصيد المخزون السريع"
"Recorder","المسجل"
"Reminder","تذكير"
"Rename Tool","أداة إعادة التسمية"
"Repost Accounting Ledger","إعادة ترحيل دفتر الأستاذ المحاسبي"
"Repost Accounting Ledger Settings","إعدادات إعادة ترحيل دفتر الأستاذ"
"Repost Item Valuation","إعادة ترحيل تقييم الأصناف"
"Repost Payment Ledger","إعادة ترحيل دفتر أستاذ الدفعات"
"Role Permission for Page and Report","صلاحية الدور للصفحة والتقرير"
"Route History","سجل المسار"
"RQ Job","مهمة RQ"
"RQ Worker","منفذ مهمة RQ"
"S3 Backup Settings","إعدادات النسخ الاحتياطي S3"
"Sales Partner","شريك المبيعات"
"Scheduled Job Log","سجل المهام المجدولة"
"Selling Settings","إعدادات المبيعات"
"Session Default Settings","إعدادات الجلسة الافتراضية"
"Share Transfer","تحويل الأسهم"
"Shareholder","مساهم"
"Shipment","الشحنة"
"Shipment Parcel Template","قالب طرد الشحنة"
"Slack Webhook URL","رابط خطاف الويب لسلاك"
"SMS Center","مركز الرسائل النصية"
"SMS Log","سجل الرسائل النصية"
"SMS Settings","إعدادات الرسائل النصية"
"Social Login Key","مفتاح تسجيل الدخول الاجتماعي"
"South Africa VAT Settings","إعدادات ضريبة القيمة المضافة لجنوب أفريقيا"
"Stock Ledger Entry","قيد أستاذ المخزون"
"Stock Reconciliation","تسوية المخزون"
"Stock Reposting Settings","إعدادات إعادة ترحيل المخزون"
"Stock Reservation Entry","قيد حجز المخزون"
"Subcontracting BOM","قائمة مواد التعاقد من الباطن"
"Submission Queue","طابور الاعتماد"
"Subscription Plan","خطة الاشتراك"
"Subscription Settings","إعدادات الاشتراك"
"Success Action","إجراء النجاح"
"Supplier Scorecard","بطاقة أداء المورّد"
"Supplier Scorecard Criteria","معايير بطاقة أداء المورّد"
"Supplier Scorecard Period","فترة بطاقة أداء المورّد"
"Supplier Scorecard Standing","ترتيب بطاقة أداء المورّد"
"Supplier Scorecard Variable","متغير بطاقة أداء المورّد"
"Support Settings","إعدادات الدعم"
"System Console","وحدة تحكم النظام"
"System Health Report","تقرير سلامة النظام"
"System Settings","إعدادات النظام"
"Tag","وسم"
"Tag Link","رابط الوسم"
"Task Type","نوع المهمة"
"Tax Rule","قاعدة ضريبية"
"Telephony Call Type","نوع المكالمة الهاتفية"
"Timesheet","الجدول الزمني"
"ToDo","قائمة المهام"
"Token Cache","الذاكرة المؤقتة للرمز"
"Transaction Deletion Record","سجل حذف الحركات"
"Transaction Log","سجل الحركات"
"Translation","الترجمة"
"UAE VAT Settings","إعدادات ضريبة القيمة المضافة الإماراتية"
"Unhandled Email","البريد غير المعالج"
"Unreconcile Payment","إلغاء تسوية السداد"
"UOM Category","فئة وحدة القياس"
"User Group","مجموعة المستخدمين"
"User Permission","صلاحية المستخدم"
"Video","الفيديو"
"Video Settings","إعدادات الفيديو"
"View Log","سجل العرض"
"Voice Call Settings","إعدادات المكالمات الصوتية"
"Warranty Claim","مطالبة ضمان"
"Web Form","نموذج ويب"
"Web Page","صفحة ويب"
"Web Page View","عرض صفحة الويب"
"Webhook Request Log","سجل طلبات خطاف الويب"
"Website Route Meta","بيانات وصفية لمسار الموقع"
"Website Script","سكريبت الموقع"
"Website Settings","إعدادات الموقع"
"Website Slideshow","عرض شرائح الموقع"
"Workflow","سير العمل"
"Workflow Action","إجراء سير العمل"
"Workflow Action Master","الإجراء الرئيسي لسير العمل"
"Penalty Entry","تسجيل غرامة"
" Is Child Table","جدول تابع"
"_doctype","نوع_المستند"
"_report","تقرير_"
"%  Delivered","نسبة التسليم %"
"% Amount Billed","نسبة المبلغ المفوتر %"
"% Billed","النسبة المفوترة %"
"% Complete Method","طريقة حساب الإنجاز %"
"% Completed","نسبة الإنجاز %"
"% Installed","النسبة المركّبة %"
"% Ordered","النسبة المطلوبة %"
"% Picked","نسبة الانتقاء %"
"% Process Loss","فاقد العملية %"
"% Progress","نسبة التقدم %"
"% Received","نسبة الاستلام %"
"% Returned","النسبة المرتجعة %"
"Abbr","الاختصار"
"Abbreviation","الاختصار"
"Acceptance Criteria Formula","صيغة معايير القبول"
"Acceptance Criteria Value","قيمة معايير القبول"
"Accepted Qty","الكمية المقبولة"
"Accepted Qty in Stock UOM","الكمية المقبولة بوحدة قياس المخزون"
"Accepted Quantity","الكمية المقبولة"
"Accepted Warehouse","مستودع الاستلام"
"Access Control","التحكم بالوصول"
"Access Key","مفتاح الوصول"
"Access Key ID","رمز مفتاح الوصول"
"Access Key Secret","مفتاح الوصول السري"
"Access Token","رمز الوصول"
"Access Token URL","رابط رمز الوصول"
"Account Balance (From)","رصيد الحساب (من)"
"Account Balance (To)","رصيد الحساب (إلى)"
"Account Currency","عملة الحساب"
"Account Currency (From)","عملة الحساب (من)"
"Account Currency (To)","عملة الحساب (إلى)"
"Account Deletion Settings","إعدادات حذف الحساب"
"Account Details","تفاصيل الحساب"
"Account for Change Amount","حساب مبلغ الفكة"
"Account Head","الحساب الرئيسي"
"Account Manager","مدير الحساب"
"Account Name","اسم الحساب"
"Account Number","رقم الحساب"
"Account Opening Balance","الرصيد الافتتاحي للحساب"
"Account Paid From","الحساب المسدَّد منه"
"Account Paid To","الحساب المسدَّد إليه"
"Account Subtype","النوع الفرعي للحساب"
"Account Type","نوع الحساب"
"Accounting","المحاسبة"
"Accounting Details","التفاصيل المحاسبية"
"Accounting Dimensions ","الأبعاد المحاسبية"
"Accounting Dimensions Filter","فلتر الأبعاد المحاسبية"
"Accounting Entries","القيود المحاسبية"
"Accounts","الحسابات"
"Accounts Closing","إقفال الحسابات"
"Accounts Frozen Till Date","تجميد الحسابات حتى تاريخ"
"Accounts Receivable / Payable Tuning","ضبط الذمم المدينة / الدائنة"
"Accounts Receivable Credit Account","حساب دائن الذمم المدينة"
"Accounts Receivable Discounted Account","حساب خصم الذمم المدينة"
"Accounts Receivable Unpaid Account","حساب الذمم المدينة غير المسددة"
"Accounts Receivable/Payable","الذمم المدينة/الدائنة"
"Accounts to Merge","الحسابات المطلوب دمجها"
"Accumulated Depreciation Account","حساب مجمع الإهلاك"
"Accumulated Depreciation Amount","مبلغ مجمع الإهلاك"
"Acquisition Date","تاريخ الاقتناء"
"Action","الإجراء"
"Action / Route","الإجراء / المسار"
"Action if Accumulated Monthly Budget Exceeded on Actual","الإجراء عند تجاوز الموازنة الشهرية المتراكمة على الفعلي"
"Action if Accumulated Monthly Budget Exceeded on MR","الإجراء عند تجاوز الموازنة الشهرية المتراكمة على طلب المواد"
"Action if Accumulated Monthly Budget Exceeded on PO","الإجراء عند تجاوز الموازنة الشهرية المتراكمة على أمر الشراء"
"Action if Annual Budget Exceeded on Actual","الإجراء عند تجاوز الموازنة السنوية على الفعلي"
"Action if Annual Budget Exceeded on MR","الإجراء عند تجاوز الموازنة السنوية على طلب المواد"
"Action if Annual Budget Exceeded on PO","الإجراء عند تجاوز الموازنة السنوية على أمر الشراء"
"Action If Quality Inspection Is Not Submitted","الإجراء عند عدم تقديم فحص الجودة"
"Action If Quality Inspection Is Rejected","الإجراء عند رفض فحص الجودة"
"Action If Same Rate is Not Maintained","الإجراء عند عدم الحفاظ على نفس السعر"
"Action if Same Rate is Not Maintained Throughout Sales Cycle","الإجراء عند عدم الحفاظ على نفس السعر خلال دورة المبيعات"
"Action Label","تسمية الإجراء"
"Action Timeout (Seconds)","مهلة الإجراء (بالثواني)"
"Action Type","نوع الإجراء"
"Actions","الإجراءات"
"Actions performed","الإجراءات المنفذة"
"Activate","تفعيل"
"Active","نشط"
"Active Domains","النطاقات النشطة"
"Active Sessions","الجلسات النشطة"
"Active Status","الحالة النشطة"
"Activities","الأنشطة"
"Activity","النشاط"
"Actual Batch Quantity","كمية الباتش الفعلية"
"Actual Date","التاريخ الفعلي"
"Actual End Date","تاريخ الانتهاء الفعلي"
"Actual End Date (via Timesheet)","تاريخ الانتهاء الفعلي (عبر الجدول الزمني)"
"Actual End Time","وقت الانتهاء الفعلي"
"Actual Operating Cost","تكلفة التشغيل الفعلية"
"Actual Operation Time","زمن التشغيل الفعلي"
"Actual Qty","الكمية الفعلية"
"Actual Qty (at source/target)","الكمية الفعلية (في المرسل/االمستقبل)"
"Actual Qty in Warehouse","الكمية الفعلية في المستودع"
"Actual Start Date","تاريخ البدء الفعلي"
"Actual Start Date (via Timesheet)","تاريخ البدء الفعلي (عبر الجدول الزمني)"
"Actual Start Time","وقت البدء الفعلي"
"Actual Time","الوقت الفعلي"
"Actual Time and Cost","الوقت والتكلفة الفعلية"
"Actual Time in Hours (via Timesheet)","الوقت الفعلي بالساعات (عبر الجدول الزمني)"
"Add Background Image","إضافة صورة خلفية"
"Add Border at Bottom","إضافة حد سفلي"
"Add Border at Top","إضافة حد علوي"
"Add Container","إضافة حاوية"
"Add Corrective Operation Cost in Finished Good Valuation","إضافة تكلفة العملية التصحيحية في تقييم المنتج النهائي"
"Add Custom Tags","إضافة وسوم مخصصة"
"Add Gray Background","إضافة خلفية رمادية"
"Add Local Holidays","إضافة العطلات المحلية"
"Add Manually","إضافة يدوية"
"Add or Deduct","إضافة أو خصم"
"Add Query Parameters","إضافة معاملات الاستعلام"
"Add Quote","إضافة عرض سعر"
"Add Serial / Batch Bundle","إضافة حزمة رقم تسلسلي / الباتش"
"Add Serial / Batch No","إضافة رقم تسلسلي / باتش "
"Add Serial / Batch No (Rejected Qty)","إضافة رقم تسلسلي / باتش (الكمية المرفوضة)"
"Add Signature","إضافة توقيع"
"Add Space at Bottom","إضافة مسافة سفلية"
"Add Space at Top","إضافة مسافة علوية"
"Add Template","إضافة قالب"
"Add to Holidays","إضافة إلى العطلات"
"Add to Transit","إضافة إلى "بضاعة بالطريق""
"Add Total Row","إضافة صف الإجمالي"
"Add Translate Data","إضافة بيانات الترجمة"
"Add Unsubscribe Link","إضافة رابط إلغاء الاشتراك"
"Add Video Conferencing","إضافة مؤتمر فيديو"
"Add Weekly Holidays","إضافة العطلات الأسبوعية"
"Added By","أُضيف بواسطة"
"Added On","أُضيف بتاريخ"
"Additional Asset Cost","تكلفة إضافية للأصل"
"Additional Cost","تكلفة إضافية"
"Additional Cost Per Qty","تكلفة إضافية لكل كمية"
"Additional Costs","تكاليف إضافية"
"Additional Data","بيانات إضافية"
"Additional Details","تفاصيل إضافية"
"Additional Discount","خصم إضافي"
"Additional Discount Amount","مبلغ الخصم الإضافي"
"Additional Discount Amount (Company Currency)","مبلغ الخصم الإضافي (بعملة الشركة)"
"Additional Discount Percentage","نسبة الخصم الإضافي"
"Additional Info","معلومات إضافية"
"Additional Information","معلومات إضافية"
"Additional Notes","ملاحظات إضافية"
"Additional Operating Cost","تكلفة تشغيل إضافية"
"Additional Permissions","صلاحيات إضافية"
"Address & Contact","العنوان وبيانات الاتصال"
"Address & Contacts","العنوان وجهات الاتصال"
"Address and Contact","العنوان وبيانات الاتصال"
"Address and Contacts","العنوان وجهات الاتصال"
"Address Desc","وصف العنوان"
"Address HTML","عنوان HTML"
"Address Line 1","سطر العنوان 1"
"Address Line 2","سطر العنوان 2"
"Address Name","اسم العنوان"
"Address Title","مسمى العنوان"
"Address Type","نوع العنوان"
"Advance Account","حساب الدفعات المقدمة"
"Advance Amount","مبلغ الدفعة المقدمة"
"Advance Paid","الدفعة المقدمة المدفوعة"
"Advance Payments","الدفعات المقدمة"
"Advance Tax","ضريبة مدفوعة مقدمًا"
